collocation,count,count_nested,length,lambda,z,shopkeeper_term,period,type,normalized_freq,doc_count,n_periods
店主報,80,0,2,1.410748500402967,12.468274966357312,店主,1895-1911,2-gram,6.1017466249713985,13111,3
枚店主,10,0,2,1.3995719069187902,4.4939905132171205,店主,1895-1911,2-gram,0.7627183281214248,13111,4
店主索,25,0,2,1.3913880832812873,6.9536764048935575,店主,1895-1911,2-gram,1.9067958203035618,13111,4
店主虧欠,10,0,2,1.3507794575365106,4.3386092547268476,店主,1895-1911,2-gram,0.7627183281214248,13111,3
店主案訊,46,0,3,1.3462132886874243,5.846407661798951,店主,1895-1911,3-gram,3.5085043093585537,13111,3
適店主,14,0,2,1.2782959197737296,4.826335792710641,店主,1895-1911,2-gram,1.0678056593699945,13111,5
俟店主,13,0,2,1.2662230701222912,4.613739265485006,店主,1895-1911,2-gram,0.9915338265578523,13111,3
店主恐,13,0,2,1.2607224194012039,4.5935146478631905,店主,1895-1911,2-gram,0.9915338265578523,13111,3
死店主,10,0,2,1.240501076134445,3.9879989880023836,店主,1895-1911,2-gram,0.7627183281214248,13111,4
囑店主,7,0,2,1.1978722955335566,3.2564118435677334,店主,1895-1911,2-gram,0.5339028296849972,13111,3
店主速,6,0,2,1.1585859487240904,2.932902248350987,店主,1895-1911,2-gram,0.45763099687285486,13111,3
旋店主,29,0,2,1.1456378481311678,6.167443524165447,店主,1895-1911,2-gram,2.211883151552132,13111,4
夥店主,27,0,2,1.1316343331949463,5.883424076407232,店主,1895-1911,2-gram,2.059339485927847,13111,3
着店主,7,0,2,1.0866014082468687,2.9560040623642596,店主,1895-1911,2-gram,0.5339028296849972,13111,3
事店主,66,0,2,1.0770421520224698,8.681975792250306,店主,1895-1911,2-gram,5.033940965601404,13111,5
一面店主,8,0,2,1.0520572849724719,3.047228244790412,店主,1895-1911,2-gram,0.6101746624971398,13111,4
店主女,10,0,2,1.0453553157951476,3.3645806179628988,店主,1895-1911,2-gram,0.7627183281214248,13111,3
悉店主,23,0,2,1.0341777163177652,4.974892054179466,店主,1895-1911,2-gram,1.7542521546792769,13111,4
捕房店主,82,0,2,1.0248443490824934,9.191783450042154,店主,1895-1911,2-gram,6.254290290595683,13111,3
店主具,29,0,2,1.0199758660784157,5.494817093208437,店主,1895-1911,2-gram,2.211883151552132,13111,3
店主投報,62,0,3,1.0105822968167995,4.255021786604669,店主,1895-1911,3-gram,4.728853634352833,13111,3
店主肯,5,0,2,0.98933097415315,2.3062832287980712,店主,1895-1911,2-gram,0.3813591640607124,13111,3
店主案,158,0,2,0.9803944474701662,12.113206230714622,店主,1895-1911,2-gram,12.050949584318513,13111,3
店主傳,42,0,2,0.9477064434598095,6.123812146479119,店主,1895-1911,2-gram,3.203416978109984,13111,3
